pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,829.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,833.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,840.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,843.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,839.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,834.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,828.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,829.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,833.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,840.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,843.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,839.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,834.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,828.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,829.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,833.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,840.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,843.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,839.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,834.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,828.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,829.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,833.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,840.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,843.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,839.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,834.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,828.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,829.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,833.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,840.81
